id,x,y,ec.0-5 cm,ec.5-15 cm,ec.15-30 cm,ec.30-60 cm,ec.60-100 cm,ec.100-200 cm
109,768443.9102,3585424.211,6.93702983,5.615509821,2.131165916,5.068950334,28.5008997,48.92259395
110,767916.3294,3590000.921,42.29294009,35.10677324,18.48251982,141.4442891,85.44802221,51.38171478
111,767270.6105,3590265.024,3.518544982,3.607284251,3.921113424,4.137698825,3.531475638,3.179831748
112,764929.2093,3590233.49,33.2431929,46.75731455,100.7090405,186.1795755,83.50873334,51.56803328
113,765221.1718,3589849.371,0,0,0.127067381,22.41340116,67.69336415,64.16481352
114,766675.1422,3584824.186,3.53202105,5.670586163,12.17930424,21.31760693,26.30965998,21.67446674
115,768752.5128,3583138.356,5.256342689,2.378871281,0,61.65263081,173.5926403,57.78613288
116,769561.0912,3583183.746,57.25939612,58.12431542,60.94383692,56.5333463,27.5838602,25.55759294
117,778590.529,3581286.982,161.0715956,153.0120872,121.3019578,63.92231921,45.7242875,44.27503211
118,776843.8782,3580287.641,2.899999403,2.90001546,3.10504213,4.597521447,5.153978686,4.321129247
119,776382.3611,3580674.937,4.895208753,6.265904887,11.18875463,16.58747627,13.24240036,9.056691308
120,776091.4658,3580846.327,38.47444397,62.11304315,150.5314712,160.605805,67.04953617,76.43496623
121,774024.9268,3580730.395,8.636966513,8.400754211,7.541807596,6.32280402,5.963052549,5.925395958
122,773502.6401,3580400.66,136.5416205,133.1707474,119.7133854,71.01239478,19.47008075,21.14760739
123,773794.8209,3581618.794,83.99517567,91.33179315,119.3535317,150.7001116,110.4265269,93.92674245
124,776607.6369,3578071.113,134.089997,123.3763514,99.36404332,64.94709481,33.92063548,21.03827198
125,777292.5631,3577108.013,34.82251197,38.08987844,46.33754746,41.91374456,15.32228344,0.24474486
126,775077.5019,3575972.027,11.06365203,10.19099236,7.054924859,3.565649276,10.43171466,34.62396692
127,774310.7073,3577241.326,3.665200159,3.525445885,3.147455239,3.051963376,3.481972103,3.742616049
128,769454.2428,3581875.936,6.582029377,7.085074673,9.086796023,15.07583853,27.22112524,40.30878784
129,768975.5503,3578527.727,113.713497,102.9977067,64.09624611,11.04138656,6.878922656,19.66105124
130,769110.8612,3576749.6,3.789759035,3.765361448,3.697759682,3.876977131,4.720282179,5.422230946
131,770767.2003,3576141.448,59.97681423,54.02171181,30.73031878,3.750158183,9.218097135,14.77197927
132,771598.5101,3577389.732,74.72661589,71.07763479,62.89313609,53.6593079,46.04415853,46.04414368
133,769301.0026,3573355.555,46.08120183,56.46121472,94.92043695,167.932731,236.3693545,236.3693545
134,769346.1204,3574159.187,1.985141155,2.080563991,2.451111546,3.397838583,4.590733938,4.590733938
135,766448.8507,3574397.451,3.029749698,2.874967465,2.344094854,2.32797426,3.404530387,4.192922026
